epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,361,,,,0.9790197014808655,1.2187689542770386,1.493021011352539
0,361,1.1384786367416382,1.4028596878051758,2.050729274749756,,,
1,723,,,,0.8809331059455872,1.1344996690750122,1.2965106964111328
1,723,0.9138996005058289,1.1600836515426636,1.3521735668182373,,,
2,1085,,,,0.8780173659324646,1.107961654663086,1.2352718114852905
2,1085,0.8733149170875549,1.115556240081787,1.2506043910980225,,,
3,1447,,,,0.8423582315444946,1.101527452468872,1.2241556644439697
3,1447,0.8492449522018433,1.0913807153701782,1.1975747346878052,,,
4,1809,,,,0.8085218667984009,1.058014988899231,1.1301072835922241
4,1809,0.8258518576622009,1.0685641765594482,1.148960828781128,,,
5,2171,,,,0.7830950021743774,1.0310394763946533,1.073373794555664
5,2171,0.8035163283348083,1.0488823652267456,1.1067899465560913,,,
6,2533,,,,0.7669786214828491,1.0268634557724,1.0651650428771973
6,2533,0.775749146938324,1.0244038105010986,1.0568727254867554,,,
7,2895,,,,0.7691515684127808,1.0180326700210571,1.0469605922698975
7,2895,0.7668477296829224,1.0158838033676147,1.0394737720489502,,,
8,3257,,,,0.7512990832328796,1.0088915824890137,1.0286461114883423
8,3257,0.7540974020957947,1.0053297281265259,1.0182454586029053,,,
9,3619,,,,0.7307826280593872,0.9973855018615723,1.0073339939117432
9,3619,0.7430080771446228,0.9937612414360046,0.9959740042686462,,,
10,3981,,,,0.7375221252441406,0.9913575649261475,0.9939672350883484
10,3981,0.7376918792724609,0.9889150857925415,0.9860419631004333,,,
11,4343,,,,0.7231652140617371,0.9871554374694824,0.9858951568603516
11,4343,0.7294524908065796,0.9793285131454468,0.9668908715248108,,,
12,4705,,,,0.7153221368789673,0.9767633080482483,0.9680039882659912
12,4705,0.7208058834075928,0.9698167443275452,0.9484427571296692,,,
13,5067,,,,0.7073348760604858,0.966509222984314,0.9461273550987244
13,5067,0.7172252535820007,0.9660888910293579,0.940521240234375,,,
14,5429,,,,0.6988208889961243,0.9532109498977661,0.9218890070915222
14,5429,0.7084117531776428,0.9550531506538391,0.9200596809387207,,,
15,5791,,,,0.6818027496337891,0.962053656578064,0.9405267238616943
15,5791,0.7000085115432739,0.9453282356262207,0.9018837213516235,,,
16,6153,,,,0.691993772983551,0.9379903078079224,0.8920964598655701
16,6153,0.6878034472465515,0.9299630522727966,0.873253345489502,,,
17,6515,,,,0.6786798238754272,0.9161351323127747,0.8509780168533325
17,6515,0.6787844896316528,0.9214628338813782,0.8578465580940247,,,
18,6877,,,,0.6771270036697388,0.9159312844276428,0.8513424396514893
18,6877,0.673576831817627,0.9149245023727417,0.8453500866889954,,,
19,7239,,,,0.6616004705429077,0.9233357310295105,0.8654991984367371
19,7239,0.6635459065437317,0.9040456414222717,0.8246573209762573,,,
20,7601,,,,0.7101637721061707,0.9403997659683228,0.895455539226532
20,7601,0.6593179702758789,0.8994536399841309,0.8172115683555603,,,
21,7963,,,,0.6629197597503662,0.9105689525604248,0.8419041037559509
21,7963,0.6532537341117859,0.8920844793319702,0.803970992565155,,,
22,8325,,,,0.6418228149414062,0.8987175226211548,0.8215854167938232
22,8325,0.646329939365387,0.884024977684021,0.7906515002250671,,,
23,8687,,,,0.6296961307525635,0.8846973180770874,0.7958297729492188
23,8687,0.638927161693573,0.8740690350532532,0.7722464799880981,,,
24,9049,,,,0.6365488171577454,0.8661608695983887,0.7637113332748413
24,9049,0.6369855999946594,0.8741287589073181,0.770950198173523,,,
25,9411,,,,0.6941914558410645,0.9059282541275024,0.8307539820671082
25,9411,0.6326996684074402,0.8684378266334534,0.7634639143943787,,,
26,9773,,,,0.6130504608154297,0.8557937741279602,0.7474807500839233
26,9773,0.6275352239608765,0.8586325645446777,0.7458028793334961,,,
27,10135,,,,0.6449546217918396,0.8793068528175354,0.7849104404449463
27,10135,0.628066897392273,0.8601073622703552,0.7490860223770142,,,
28,10497,,,,0.6601704955101013,0.8786627054214478,0.7832801342010498
28,10497,0.6178930997848511,0.8504359126091003,0.7312460541725159,,,
29,10859,,,,0.6217014193534851,0.8603023886680603,0.7522035837173462
29,10859,0.6195383071899414,0.8518850803375244,0.733780562877655,,,
30,11221,,,,0.6028618812561035,0.841232419013977,0.7181321978569031
30,11221,0.6084001660346985,0.8377597332000732,0.7091845273971558,,,
31,11583,,,,0.6137985587120056,0.8417587876319885,0.7187451720237732
31,11583,0.6041099429130554,0.8304697871208191,0.6964824795722961,,,
32,11945,,,,0.6182812452316284,0.8459004163742065,0.7263336181640625
32,11945,0.6041537523269653,0.8337221741676331,0.7029215097427368,,,
33,12307,,,,0.5875651836395264,0.8253136277198792,0.6920155882835388
33,12307,0.5993987917900085,0.8270075917243958,0.691443920135498,,,
34,12669,,,,0.6152881383895874,0.8373932242393494,0.7125542759895325
34,12669,0.5924317836761475,0.8178406357765198,0.6764801740646362,,,
35,13031,,,,0.5973808765411377,0.840943455696106,0.7189177870750427
35,13031,0.5942539572715759,0.8216690421104431,0.6833047270774841,,,
36,13393,,,,0.6039061546325684,0.8444617390632629,0.7216574549674988
36,13393,0.5894335508346558,0.8149963617324829,0.6719167232513428,,,
37,13755,,,,0.5748963952064514,0.822751522064209,0.6893989443778992
37,13755,0.5831485390663147,0.8064978122711182,0.6584028601646423,,,
38,14117,,,,0.6010055541992188,0.8677236437797546,0.7631976008415222
38,14117,0.5910512804985046,0.819161057472229,0.6793897747993469,,,
39,14479,,,,0.5902007818222046,0.8300704956054688,0.7009131908416748
