epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,361,,,,0.923117995262146,1.1616432666778564,1.3569680452346802
0,361,1.0713659524917603,1.3314282894134521,1.8264873027801514,,,
1,723,,,,0.8915624618530273,1.1260085105895996,1.2763296365737915
1,723,0.8897640109062195,1.1348507404327393,1.2939043045043945,,,
2,1085,,,,0.855571448802948,1.1119105815887451,1.2471486330032349
2,1085,0.8661872744560242,1.1093857288360596,1.2378811836242676,,,
3,1447,,,,0.8657775521278381,1.0995194911956787,1.2179073095321655
3,1447,0.8548824191093445,1.0988422632217407,1.214545726776123,,,
4,1809,,,,0.8399292826652527,1.091871738433838,1.2028158903121948
4,1809,0.846382200717926,1.090340495109558,1.1959290504455566,,,
5,2171,,,,0.8356679677963257,1.0776673555374146,1.1707704067230225
5,2171,0.8325638175010681,1.0780009031295776,1.169795036315918,,,
6,2533,,,,0.8130239248275757,1.056837558746338,1.1264328956604004
6,2533,0.8204867243766785,1.0648794174194336,1.1411662101745605,,,
7,2895,,,,0.811286211013794,1.056067943572998,1.1242742538452148
7,2895,0.8039389848709106,1.0491421222686768,1.108091115951538,,,
8,3257,,,,0.8157038688659668,1.046954870223999,1.1041682958602905
8,3257,0.7878658771514893,1.0338810682296753,1.076329231262207,,,
9,3619,,,,0.7854604125022888,1.0264778137207031,1.0626857280731201
9,3619,0.7765148878097534,1.021416187286377,1.050413966178894,,,
10,3981,,,,0.7528753876686096,1.0054211616516113,1.0206270217895508
10,3981,0.7677516341209412,1.0119609832763672,1.0321358442306519,,,
11,4343,,,,0.750312864780426,0.9978860020637512,1.005061388015747
11,4343,0.7543771862983704,0.9985508918762207,1.0052562952041626,,,
12,4705,,,,0.7454503178596497,0.9991806149482727,1.0086970329284668
12,4705,0.7433502674102783,0.9865443110466003,0.9809694886207581,,,
13,5067,,,,0.7370439171791077,0.9800621867179871,0.9702293872833252
13,5067,0.7361511588096619,0.9784661531448364,0.9651205539703369,,,
14,5429,,,,0.772861659526825,1.0057837963104248,1.0200022459030151
14,5429,0.7265106439590454,0.9693103432655334,0.9477202296257019,,,
15,5791,,,,0.7040612101554871,0.9669075608253479,0.946329653263092
15,5791,0.7193515300750732,0.9612929821014404,0.9323393106460571,,,
16,6153,,,,0.7189874649047852,0.9552839398384094,0.9209914803504944
16,6153,0.7096462249755859,0.9511815309524536,0.9119707942008972,,,
17,6515,,,,0.6885194778442383,0.9437847137451172,0.9018743634223938
17,6515,0.70326167345047,0.9425729513168335,0.8958624601364136,,,
18,6877,,,,0.7139590382575989,0.959025502204895,0.9291321635246277
18,6877,0.696494460105896,0.9353825449943542,0.8823999166488647,,,
19,7239,,,,0.6994025111198425,0.9320386052131653,0.8771095871925354
19,7239,0.6917115449905396,0.9311036467552185,0.8752384781837463,,,
20,7601,,,,0.6966806650161743,0.9259717464447021,0.864880383014679
20,7601,0.6813636422157288,0.9211205840110779,0.856212854385376,,,
21,7963,,,,0.6837853789329529,0.946221649646759,0.9062994718551636
21,7963,0.6796652674674988,0.9178256392478943,0.851399302482605,,,
22,8325,,,,0.6773960590362549,0.9359949827194214,0.8864403367042542
22,8325,0.6714292764663696,0.9093855619430542,0.8354904055595398,,,
23,8687,,,,0.6670266389846802,0.9193487167358398,0.855185866355896
23,8687,0.6642813086509705,0.8998458981513977,0.8183245658874512,,,
24,9049,,,,0.7079912424087524,0.9269474744796753,0.8675037622451782
24,9049,0.6529455780982971,0.8873593211174011,0.7936707735061646,,,
25,9411,,,,0.7018394470214844,0.9246898293495178,0.8620523810386658
25,9411,0.6574060916900635,0.8901753425598145,0.8001305460929871,,,
26,9773,,,,0.6608364582061768,0.8953789472579956,0.8098531365394592
26,9773,0.6472724080085754,0.8807382583618164,0.7834527492523193,,,
27,10135,,,,0.6805174350738525,0.905773401260376,0.8281294107437134
27,10135,0.6444787979125977,0.8780366778373718,0.7787436842918396,,,
28,10497,,,,0.6503382921218872,0.8907819986343384,0.8026221990585327
28,10497,0.643036961555481,0.874371349811554,0.7719000577926636,,,
29,10859,,,,0.7043958902359009,0.9198768734931946,0.8544723987579346
29,10859,0.637413501739502,0.8703863024711609,0.7655190229415894,,,
30,11221,,,,0.6668099761009216,0.9171521067619324,0.84822678565979
30,11221,0.6401961445808411,0.8731963634490967,0.7703165411949158,,,
31,11583,,,,0.6730683445930481,0.9107990860939026,0.8374094367027283
31,11583,0.6313403844833374,0.8635522127151489,0.7535504698753357,,,
32,11945,,,,0.6402397751808167,0.8741553425788879,0.7723105549812317
32,11945,0.6328601837158203,0.8636573553085327,0.7544968128204346,,,
33,12307,,,,0.6755865812301636,0.8952255249023438,0.8090807795524597
33,12307,0.6281865835189819,0.8601463437080383,0.7478175163269043,,,
34,12669,,,,0.6258978843688965,0.8627734780311584,0.7525250911712646
34,12669,0.6199231147766113,0.8481231331825256,0.7273677587509155,,,
35,13031,,,,0.6351589560508728,0.8720482587814331,0.7689063549041748
35,13031,0.6154930591583252,0.8458355069160461,0.7234963774681091,,,
36,13393,,,,0.6353674530982971,0.8660054802894592,0.7573239803314209
36,13393,0.6167498230934143,0.8472909331321716,0.7255962491035461,,,
37,13755,,,,0.6853158473968506,0.9064868092536926,0.8280029892921448
37,13755,0.6116086840629578,0.8402568101882935,0.7145912647247314,,,
38,14117,,,,0.6296049952507019,0.8622088432312012,0.7515063285827637
38,14117,0.6107348203659058,0.8385763168334961,0.711672842502594,,,
39,14479,,,,0.6574447154998779,0.8705483078956604,0.7645614743232727
39,14479,0.6080424189567566,0.8351094722747803,0.7047208547592163,,,
40,14841,,,,0.6221705675125122,0.8513875007629395,0.7327468395233154
40,14841,0.604523241519928,0.8326239585876465,0.7010287642478943,,,
41,15203,,,,0.6254144310951233,0.8497403264045715,0.7290482521057129
41,15203,0.6025157570838928,0.8293176293373108,0.6949052214622498,,,
42,15565,,,,0.6320208311080933,0.8551072478294373,0.7390525341033936
42,15565,0.6003941893577576,0.8255250453948975,0.6906647086143494,,,
43,15927,,,,0.6558955907821655,0.8754501342773438,0.7741681337356567
43,15927,0.598173201084137,0.8227832317352295,0.6849827170372009,,,
44,16289,,,,0.6369583010673523,0.8576774001121521,0.7430097460746765
44,16289,0.5945501923561096,0.8186456561088562,0.6774842143058777,,,
45,16651,,,,0.6090041995048523,0.8390491008758545,0.7109495997428894
45,16651,0.5950343012809753,0.819476306438446,0.6799866557121277,,,
46,17013,,,,0.6364654302597046,0.8600187301635742,0.745970606803894
46,17013,0.5897449254989624,0.8126154541969299,0.6681849360466003,,,
47,17375,,,,0.6149705648422241,0.8595165610313416,0.7462862133979797
47,17375,0.5884714722633362,0.8102551102638245,0.6643086075782776,,,
48,17737,,,,0.6295017600059509,0.8425988554954529,0.7167484760284424
48,17737,0.5862526297569275,0.8093344569206238,0.6626145839691162,,,
49,18099,,,,0.6070602536201477,0.837758481502533,0.7085319757461548
49,18099,0.5783230066299438,0.7968246936798096,0.6423709988594055,,,
50,18461,,,,0.6400877237319946,0.8786392211914062,0.7788448929786682
50,18461,0.5801841616630554,0.8006987571716309,0.6486594080924988,,,
51,18823,,,,0.596368134021759,0.839144766330719,0.7129289507865906
51,18823,0.5810652375221252,0.8019310235977173,0.6498521566390991,,,
52,19185,,,,0.6978394985198975,0.9795218110084534,0.9695847034454346
52,19185,0.5799218416213989,0.8015071153640747,0.6495323777198792,,,
53,19547,,,,0.5904956459999084,0.8175106048583984,0.676024317741394
53,19547,0.5749887228012085,0.7925906777381897,0.6366161704063416,,,
54,19909,,,,0.5948671102523804,0.8132728934288025,0.6678248643875122
54,19909,0.5691456198692322,0.786159336566925,0.6263285875320435,,,
55,20271,,,,0.6035556793212891,0.8211895227432251,0.6811345815658569
55,20271,0.5700489282608032,0.7890561819076538,0.6297630667686462,,,
56,20633,,,,0.6153240203857422,0.8356820344924927,0.7064999938011169
56,20633,0.5701472163200378,0.7861925363540649,0.625241219997406,,,
57,20995,,,,0.5940764546394348,0.8172444701194763,0.6757963299751282
57,20995,0.5731294751167297,0.7901109457015991,0.6319893002510071,,,
58,21357,,,,0.5891952514648438,0.8237603902816772,0.6869311928749084
58,21357,0.563553512096405,0.7778834104537964,0.6133431196212769,,,
59,21719,,,,0.6331921815872192,0.8599305152893066,0.747822642326355
59,21719,0.5677170157432556,0.7853841781616211,0.6240825653076172,,,
60,22081,,,,0.5821158289909363,0.8171743154525757,0.6756429076194763
60,22081,0.5605262517929077,0.7758251428604126,0.6093469858169556,,,
61,22443,,,,0.6180267930030823,0.8327109813690186,0.7003982663154602
61,22443,0.5550878643989563,0.7675364017486572,0.5961568355560303,,,
62,22805,,,,0.5801200270652771,0.8244791626930237,0.6873799562454224
62,22805,0.5558198690414429,0.7693814635276794,0.5998868942260742,,,
63,23167,,,,0.5859693288803101,0.8190553188323975,0.6774810552597046
63,23167,0.5562307238578796,0.7710904479026794,0.6019227504730225,,,
64,23529,,,,0.6204107403755188,0.8801866769790649,0.7830701470375061
64,23529,0.554155707359314,0.7669560313224792,0.5964324474334717,,,
